ADDRESS,IMAP,imap port,SMTP,smtp port
420blaze.it,mail.cock.li,993,mail.cock.li,587
8chan.co,mail.cock.li,993,mail.cock.li,587
aaathats3as.com,mail.cock.li,993,mail.cock.li,587
accountant.com,imap.mail.com,995,smtp.mail.com,587
accountant.com,imap.mail.com,995,smtp.mail.com,587
activist.com,imap.mail.com,995,smtp.mail.com,587
adexec.com,imap.mail.com,995,smtp.mail.com,587
airmail.cc,mail.cock.li,993,mail.cock.li,587
allergist.com,imap.mail.com,995,smtp.mail.com,587
alumni.com,imap.mail.com,995,smtp.mail.com,587
alumnidirector.com,imap.mail.com,995,smtp.mail.com,587
angelic.com,imap.mail.com,995,smtp.mail.com,587
aol.com,imap.aol.com,993,smtp.aol.com,465
appraiser.net,imap.mail.com,995,smtp.mail.com,587
archaeologist.com,imap.mail.com,995,smtp.mail.com,587
arcticmail.com,imap.mail.com,995,smtp.mail.com,587
artlover.com,imap.mail.com,995,smtp.mail.com,587
asia.com,imap.mail.com,995,smtp.mail.com,587
asia.com,imap.mail.com,995,smtp.mail.com,587
auctioneer.net,imap.mail.com,995,smtp.mail.com,587
bartender.net,imap.mail.com,995,smtp.mail.com,587
bguth.de,wp300.webpack.hosteurope.de,993,wp300.webpack.hosteurope.de,587
bikerider.com,imap.mail.com,995,smtp.mail.com,587
billycarlyle.uk,mail.muny.us,993,mail.muny.us,465
birdlover.com,imap.mail.com,995,smtp.mail.com,587
bjoernguthphotography.de,wp300.webpack.hosteurope.de,993,wp300.webpack.hosteurope.de,587
brew-meister.com,imap.mail.com,995,smtp.mail.com,587
cash4u.com,imap.mail.com,995,smtp.mail.com,587
cheerful.com,imap.mail.com,995,smtp.mail.com,587
chef.net,imap.mail.com,995,smtp.mail.com,587
chemist.com,imap.mail.com,995,smtp.mail.com,587
clerk.com,imap.mail.com,995,smtp.mail.com,587
clubmember.org,imap.mail.com,995,smtp.mail.com,587
cocaine.ninja,mail.cock.li,993,mail.cock.li,587
cock.email,mail.cock.li,993,mail.cock.li,587
cock.li,mail.cock.li,993,mail.cock.li,587
cock.lu,mail.cock.li,993,mail.cock.li,587
collector.org,imap.mail.com,995,smtp.mail.com,587
columnist.com,imap.mail.com,995,smtp.mail.com,587
comic.com,imap.mail.com,995,smtp.mail.com,587
computer4u.com,imap.mail.com,995,smtp.mail.com,587
consultant.com,imap.mail.com,995,smtp.mail.com,587
consultant.com,imap.mail.com,995,smtp.mail.com,587
contractor.net,imap.mail.com,995,smtp.mail.com,587
contractor.net,imap.mail.com,995,smtp.mail.com,587
coolsite.net,imap.mail.com,995,smtp.mail.com,587
counsellor.com,imap.mail.com,995,smtp.mail.com,587
cumallover.me,mail.cock.li,993,mail.cock.li,587
cyberservices.com,imap.mail.com,995,smtp.mail.com,587
deliveryman.com,imap.mail.com,995,smtp.mail.com,587
dicksinhisan.us,mail.cock.li,993,mail.cock.li,587
dicksinmyan.us,mail.cock.li,993,mail.cock.li,587
diplomats.com,imap.mail.com,995,smtp.mail.com,587
dr.com,imap.mail.com,995,smtp.mail.com,587
email.arizona.edu,mail.catnet.arizona.edu,993,smtpgate.email.arizona.edu,587
email.com,imap.mail.com,995,smtp.mail.com,587
engineer.com,imap.mail.com,995,smtp.mail.com,587
europe.com,imap.mail.com,995,smtp.mail.com,587
fastmail.com,imap.fastmail.com,993,smtp.fastmail.com,465
firemail.cc,mail.cock.li,993,mail.cock.li,587
fsmpi.rwth-aachen.de,mail.fsmpi.rwth-aachen.de,993,mail.fsmpi.rwth-aachen.de,465
getbackinthe.kitchen,mail.cock.li,993,mail.cock.li,587
gmail.com,imap.google.com,993,smtp.gmail.com,587
